INSERT_UPDATE StockLevel;styleCode;productCode[unique=true];available;warehouse(code)[unique=true];lockMode[default=true];lockActiveUntil[dateformat=dd-MM-yyyy, default=31-12-2099];

;596835XJBU11082;808947511;2000;US_AVAILABLE;;;
;596835XJBU11082;809018948;2000;US_AVAILABLE;;;
;596835XJBU11082;809018949;2000;US_AVAILABLE;;;
;596835XJBU11082;809018952;2000;US_AVAILABLE;;;
;596835XJBU11082;809022423;2000;US_AVAILABLE;;;
;596835XJBU11082;809022424;2000;US_AVAILABLE;;;

;596835XJBU11082;808947511;2000;JP_AVAILABLE;;;
;596835XJBU11082;809018948;2000;JP_AVAILABLE;;;
;596835XJBU11082;809018949;2000;JP_AVAILABLE;;;
;596835XJBU11082;809022423;2000;JP_AVAILABLE;;;

;596835XJBU11082;808947511;2000;KR_AVAILABLE;;;
;596835XJBU11082;809018948;2000;KR_AVAILABLE;;;
;596835XJBU11082;809018949;2000;KR_AVAILABLE;;;
;596835XJBU11082;809022423;2000;KR_AVAILABLE;;;

;596835XJBU11082;808947511;2000;EU_AVAILABLE;;;
;596835XJBU11082;809018948;2000;EU_AVAILABLE;;;
;596835XJBU11082;809018949;2000;EU_AVAILABLE;;;
;596835XJBU11082;809018952;2000;EU_AVAILABLE;;;
;596835XJBU11082;809022423;2000;EU_AVAILABLE;;;
;596835XJBU11082;809022424;2000;EU_AVAILABLE;;;

;596835XJBU11082;808947511;2000;AU_AVAILABLE;;;
;596835XJBU11082;809018948;2000;AU_AVAILABLE;;;
;596835XJBU11082;809018949;2000;AU_AVAILABLE;;;
;596835XJBU11082;809022423;2000;AU_AVAILABLE;;;

UPDATE StockLevel;styleCode;productCode[unique=true];available;warehouse(code)[unique=true];lockMode[default=true];lockActiveUntil[dateformat=dd-MM-yyyy, default=31-12-2099];

;596834XJBU11082;808947510;2000;US_AVAILABLE;;;
;596834XJBU11082;809018947;2000;US_AVAILABLE;;;
;596834XJBU11082;809018946;2000;US_AVAILABLE;;;
;596834XJBU11082;809018951;2000;US_AVAILABLE;;;
;596834XJBU11082;809022421;2000;US_AVAILABLE;;;
;596834XJBU11082;809022422;2000;US_AVAILABLE;;;

;596834XJBU11082;808947510;2000;JP_AVAILABLE;;;
;596834XJBU11082;809018947;2000;JP_AVAILABLE;;;
;596834XJBU11082;809018946;2000;JP_AVAILABLE;;;
;596834XJBU11082;809018951;2000;JP_AVAILABLE;;;
;596834XJBU11082;809022421;2000;JP_AVAILABLE;;;

;596834XJBU11082;808947510;2000;KR_AVAILABLE;;;
;596834XJBU11082;809018947;2000;KR_AVAILABLE;;;
;596834XJBU11082;809018946;2000;KR_AVAILABLE;;;
;596834XJBU11082;809022421;2000;KR_AVAILABLE;;;

;596834XJBU11082;808947510;2000;EU_AVAILABLE;;;
;596834XJBU11082;809018947;2000;EU_AVAILABLE;;;
;596834XJBU11082;809018946;2000;EU_AVAILABLE;;;
;596834XJBU11082;809018951;2000;EU_AVAILABLE;;;
;596834XJBU11082;809022421;2000;EU_AVAILABLE;;;

;596834XJBU11082;808947510;2000;AU_AVAILABLE;;;
;596834XJBU11082;809018947;2000;AU_AVAILABLE;;;
;596834XJBU11082;809018946;2000;AU_AVAILABLE;;;
;596834XJBU11082;809022421;2000;AU_AVAILABLE;;;

UPDATE StockLevel;styleCode;productCode[unique=true];available;warehouse(code)[unique=true];lockMode[default=true];lockActiveUntil[dateformat=dd-MM-yyyy, default=31-12-2099];

;604171XDAX39061;809069080;2000;JP_AVAILABLE;;;

;604171XDAX39061;809069080;2000;KR_AVAILABLE;;;
;604171XDAX39061;809073312;2000;KR_AVAILABLE;;;
;604171XDAX39061;809074365;2000;KR_AVAILABLE;;;
;604171XDAX39061;809079916;2000;KR_AVAILABLE;;;

;604171XDAX39061;809069080;2000;EU_AVAILABLE;;;
;604171XDAX39061;809073312;2000;EU_AVAILABLE;;;

;604171XDAX39061;809079916;2000;EU_AVAILABLE;;;
;604171XDAX39061;809079917;2000;EU_AVAILABLE;;;
;604171XDAX39061;809086128;2000;EU_AVAILABLE;;;

;604171XDAX39061;809069080;2000;AU_AVAILABLE;;;
;604171XDAX39061;809073312;2000;AU_AVAILABLE;;;
;604171XDAX39061;809074365;2000;AU_AVAILABLE;;;
;604171XDAX39061;809079916;2000;AU_AVAILABLE;;;

UPDATE StockLevel;styleCode;productCode[unique=true];available;warehouse(code)[unique=true];lockMode[default=true];lockActiveUntil[dateformat=dd-MM-yyyy, default=31-12-2099];

;610624Z403L2471;809138764;2000;EU_AVAILABLE;;;


UPDATE StockLevel;styleCode;productCode[unique=true];available;warehouse(code)[unique=true];lockMode[default=true];lockActiveUntil[dateformat=dd-MM-yyyy, default=31-12-2099];

;604974XJB1D1039;809069764;2000;KR_AVAILABLE;;;
